"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AUTOMOTIVE","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","COMMENT","COMPONENTLINK2URL","CURRENT RATING","DATASHEET URL","DEPTH","FREQUENCY","GENDER","HEIGHT","IMPEDANCE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MAX POWER DISSIPATION","MOUNT","MOUSER DESCRIPTION","NUMBER OF CIRCUITS","NUMBER OF PINS","NUMBER OF TERMINATIONS","PACKAGE","PACKAGE REFERENCE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PARTNUMBER","PITCH","POWER RATING","RESISTANCE","SERIES","TERMINATION","TEST FREQUENCY","VALUE","VOLTAGE RATING","VOLTAGE RATING (DC)","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"CMP-1036-02315-3","FP-CC0805-0_85-MFG","FP-CC0805-0_85-IPC_C","FP-CC0805-0_85-IPC_B","FP-CC0805-0_85-IPC_A","No","220 pF","","","","Cap","CC0805KRX7R9BB221","http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf","","","","","","0.95mm","","","Yageo","CC0805KRX7R9BB221","","","","Surface Mount Ceramic Multilayer Capacitor 220pF 10% X7R 50V 0805 Paper T/R","","","","CC0805-0.85","","","","","","","","","","","","","220 pF","50 V","","","","C?","CAP CER 220PF 50V X7R 0805"
"CMP-1036-04410-2","FP-CC0805-0_85-MFG","FP-CC0805-0_85-IPC_C","FP-CC0805-0_85-IPC_B","FP-CC0805-0_85-IPC_A","No","100 nF","","","","Cap","CC0805KRX7R8BB104","http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf","","","","","","0.95mm","","","Yageo","CC0805KRX7R8BB104","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25V X7R 10%","","","","CC0805-0.85","","","","","","","","","","","","","100 nF","25 V","","","","C?","CAP CER 0.1UF 25V X7R 0805"
"CMP-1177-00027-1","INF-SOT23_N","INF-SOT23_L","INF-SOT23_M","","","","","","","","BC817K-25","http://www.infineon.com/dgdl/bc817Kseries_bc818Kseries.pdf?folderId=db3a304314dca389011545f4eb561884&fileId=db3a304314dca38901154636aab91919","","","","","","","","","Infineon","BC817K-25","","","","","","","","","","3-Pin Small Outline Transistor Package, 1.3 x 2.9 mm Body, 0.95 mm Pitch","SOT23","Apr-08","","BC817K-25","","","","","","","BC817K-25","","","","","Q?","NPN Silicon AF Transistor, 45 V VCEO, 500 mA IC, SOT23, Reel, Green"
"CMP-1326-00001-1","ABRA-AB15T-2_V","","","","","","","","","","AB15T-32.768KHZ","http://www.abracon.com/Resonators/AB15T.pdf","","","","32.768 kHz","","","","","Abracon","AB15T-32.768KHZ","","","","","","","","","","2-Pin THD, Body 5 x 1.4 mm, Pin Spacing 0.45 mm","","","","AB15T-32.768KHZ","","","","","","","32.768 kHz","","","","","Q?","Low Frequency Cylindrical Watch Crystal, 32.768 kHz, -20 to 70 degC, 2-Pin 5 x 1.4 x 1.5 mm THD, RoHS, Bulk"
"CMP-13271-001925-1","FP-CL21-IPC_C","FP-CL21-IPC_B","FP-CL21-IPC_A","","","1.5pF","0805","2012","0805","","CL21C1R5CBANNNC","","","","1.25mm","","","0.65mm","","2mm","Samsung","CL21C1R5CBANNNC","","","Surface Mount","","","","","","","","","","","","","","","","","","1.5pF","50V","50V","0.049inch","","C?","CL21 Series 0805 1.5pF 50V ±0.25pF Tolerance C0G Multilayer Ceramic Chip Capacitor"
"CMP-1502-00216-1","618015330923","","","","","","","","","","618015330923","","","https://katalog.we-online.de/em/datasheet/6180xx330923.pdf","","","Female","","","","Wurth Elektronik","618015330923","http://www.we-online.de","","","","","","","","618015330923","","","","618015330923","","","","","","","","DSUB, Angled, 15 pins","","","","","X?","Female High Density PCB Connector with Hex Screw WR-DSUB, Angled, 15 pins"
"CMP-1502-00284-1","618009231221","","","","","","","","","","618009231221","","","https://katalog.we-online.de/em/datasheet/6180xx231221.pdf","","","Male","","","","Wurth Elektronik","618009231221","http://www.we-online.de","","","","","","","","618009231221","","","","618009231221","","","","","","","","DSUB, Angled, 9 pins","","","","","X?","Male PCB Connector with Hex Screw WR-DSUB, 8.08 mm, Angled, 9 pins"
"CMP-1502-01064-1","61300411121","","","","","","","","","","61300411121","","","https://katalog.we-online.de/em/datasheet/6130xx11121.pdf","","","Male","","","","Wurth Elektronik","61300411121","http://www.we-online.de","","","","","","","","61300411121","","","","61300411121","","2.54mm","","","","","","header 4 pin 2.54mm","","","","","P?","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 4 pins"
"CMP-1615-00195-3","FP-D0014A-MFG","FP-D0014A-IPC_B","FP-D0014A-IPC_A","FP-D0014A-IPC_C","","","","","SOIC","","CD4069UBM","","","","","","","1.58mm","","8.65mm","Texas Instruments","CD4069UBM","","","Surface Mount","","6","14","","","","","","","","","","","","4000B","","","CD4069UBM","","","3.91mm","","D?","IC INVERTER 6CH 6-INP 14SOIC"
"CMP-1662-00011-2","CAPC3216X190X55ML30T25","CAPC3216X190X55NL30T25","CAPC3216X190X55LL30T25","","","100 uF","1206","3216","","","GRM31CR60J107ME39L","http://psearch.en.murata.com/capacitor/product/GRM31CR60J107ME39%23.pdf","","","","","","1.6 mm","","3.2 mm","Murata","GRM31CR60J107ME39L","","","Surface Mount","","","","","","","2-Pin Surface Mount Device, Body 3.2 x 1.6 mm","1206","","","GRM31CR60J107ME39L","","","","","","","100 uF","6.3 V","6.3 V","1.6 mm","","C?","Chip Capacitor, 100 uF, +/- 20%, 6.3 V, -55 to 85 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
